capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-07-12 09:36:00,-1.0,5.81,11.6,26.91
2018-07-12 09:51:00,-1.0,4.82,12.0,26.51
2018-07-12 10:06:00,-1.0,4.96,12.13,25.79
2018-07-12 10:21:00,-1.0,7.67,12.0,27.22
2018-07-12 10:36:00,-1.0,27.45,12.0,30.5
2018-07-12 10:51:00,-1.0,8.16,11.6,30.45
2018-07-12 11:06:00,-1.0,7.29,11.74,30.63
2018-07-12 11:21:00,-1.0,5.05,12.0,30.1
2018-07-12 11:36:00,-1.0,5.5,11.74,29.79
2018-07-12 11:51:00,-1.0,16.27,12.0,32.49
2018-07-12 12:06:00,-1.0,54.1,12.0,37.29
2018-07-12 12:21:00,-1.0,18.75,12.26,30.32
2018-07-12 12:36:00,-1.0,3.07,11.87,28.73
2018-07-12 12:51:00,-1.0,2.64,12.13,28.64
2018-07-12 13:06:00,-1.0,2.94,12.26,28.77
2018-07-12 13:21:00,-1.0,2.29,12.13,28.29
2018-07-12 13:36:00,-1.0,2.44,11.74,28.38
2018-07-12 13:51:00,-1.0,20.45,12.0,29.66
2018-07-12 14:06:00,-1.0,2.39,11.87,28.46
2018-07-12 14:21:00,-1.0,2.42,12.0,27.93
2018-07-12 14:36:00,-1.0,2.17,12.0,28.29
2018-07-12 14:51:00,-1.0,7.51,12.0,28.55
2018-07-12 15:06:00,-1.0,1.93,12.13,27.8
2018-07-12 15:21:00,-1.0,3.05,11.74,27.49
2018-07-12 15:36:00,-1.0,1.78,12.13,27.04
2018-07-12 15:51:00,-1.0,1.8,11.87,26.73
2018-07-12 16:06:00,-1.0,1.82,12.0,26.28
2018-07-12 16:21:00,-1.0,1.86,12.13,25.92
2018-07-12 16:36:00,-1.0,2.35,11.87,25.47
2018-07-12 16:51:00,-1.0,2.22,12.0,25.34
2018-07-12 17:06:00,-1.0,12.54,12.0,26.28
2018-07-12 17:20:40,-1.0,3.02,12.13,24.7
2018-07-12 17:35:40,-1.0,2.16,11.74,24.2
2018-07-12 17:50:40,-1.0,1.96,11.6,23.88
2018-07-12 18:05:40,-1.0,3.07,12.13,24.2
2018-07-12 18:20:40,-1.0,1.53,11.74,23.33
2018-07-12 18:35:40,-1.0,1.25,11.74,23.19
2018-07-12 18:50:40,-1.0,1.04,12.13,22.72
2018-07-12 19:05:40,-1.0,0.75,12.0,22.4
2018-07-12 19:20:40,-1.0,0.51,12.0,22.02
2018-07-12 19:35:40,-1.0,0.27,12.13,21.64
2018-07-12 19:50:40,-1.0,0.1,12.39,21.26
2018-07-12 20:05:40,-1.0,0.1,11.6,21.03
2018-07-12 20:20:40,-1.0,0.1,11.87,20.83
2018-07-12 20:35:40,-1.0,0.1,11.74,20.74
2018-07-12 20:50:40,-1.0,0.1,11.74,20.64
2018-07-12 21:05:40,-1.0,0.1,12.13,20.59
2018-07-12 21:20:40,-1.0,0.1,12.26,20.55
2018-07-12 21:35:40,-1.0,0.1,11.87,20.5
2018-07-12 21:50:40,-1.0,0.1,12.13,20.45
2018-07-12 22:05:40,-1.0,0.1,12.13,20.4
2018-07-12 22:20:40,-1.0,0.1,11.6,20.35
2018-07-12 22:35:40,-1.0,0.1,11.74,20.3
2018-07-12 22:50:40,-1.0,0.1,11.87,20.26
2018-07-12 23:05:40,-1.0,0.1,11.74,20.21
2018-07-12 23:20:40,-1.0,0.1,12.39,20.16
2018-07-12 23:35:40,-1.0,0.1,12.26,20.11
2018-07-12 23:50:40,-1.0,0.1,12.0,20.06
2018-07-13 00:05:40,-1.0,0.1,11.74,19.96
2018-07-13 00:20:40,-1.0,0.1,11.6,19.92
2018-07-13 00:35:40,-1.0,0.1,12.39,19.82
2018-07-13 00:50:40,-1.0,0.1,12.0,19.72
2018-07-13 01:05:40,-1.0,0.1,12.13,19.62
2018-07-13 01:20:40,-1.0,0.1,12.39,19.53
2018-07-13 01:35:40,-1.0,0.1,12.26,19.53
2018-07-13 01:50:40,-1.0,0.1,12.39,19.43
2018-07-13 02:05:40,-1.0,0.1,12.13,19.38
2018-07-13 02:20:40,-1.0,0.1,11.87,19.33
2018-07-13 02:35:40,-1.0,0.1,12.39,19.23
2018-07-13 02:50:40,-1.0,0.1,12.0,19.03
2018-07-13 03:05:40,-1.0,0.1,12.39,18.83
2018-07-13 03:20:40,-1.0,0.1,12.13,18.59
2018-07-13 03:35:40,-1.0,0.1,12.0,18.24
2018-07-13 03:50:40,-1.0,0.1,12.0,18.13
2018-07-13 04:05:40,-1.0,0.1,12.13,17.88
2018-07-13 04:20:40,-1.0,0.1,12.0,17.98
2018-07-13 04:35:40,-1.0,0.1,12.13,18.03
2018-07-13 04:50:40,-1.0,0.1,12.13,17.98
2018-07-13 05:05:40,-1.0,0.1,12.39,17.93
2018-07-13 05:20:40,-1.0,0.1,11.87,17.93
2018-07-13 05:35:40,-1.0,0.13,12.0,17.93
2018-07-13 05:50:40,-1.0,0.34,11.87,17.98
2018-07-13 06:05:40,-1.0,0.84,12.0,18.44
2018-07-13 06:20:40,-1.0,1.19,12.39,19.28
2018-07-13 06:35:40,-1.0,12.56,11.87,22.35
2018-07-13 06:50:40,-1.0,1.63,11.6,21.93
2018-07-13 07:05:40,-1.0,1.88,11.87,22.07
2018-07-13 07:20:40,-1.0,2.33,11.87,22.54
2018-07-13 07:35:40,-1.0,2.19,11.87,22.16
