capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-07-12 09:17:52,-1.0,7.56,6.91,24.84
2018-07-12 09:32:52,-1.0,11.56,7.17,26.33
2018-07-12 09:47:52,-1.0,10.2,7.04,26.78
2018-07-12 10:02:52,-1.0,11.28,6.66,26.73
2018-07-12 10:17:52,-1.0,12.76,6.79,27.62
2018-07-12 10:32:52,-1.0,12.98,6.79,28.46
2018-07-12 10:47:52,-1.0,10.29,6.79,27.58
2018-07-12 11:02:52,-1.0,8.48,7.17,28.29
2018-07-12 11:17:52,-1.0,7.27,7.04,27.58
2018-07-12 11:32:52,-1.0,7.28,7.04,27.36
2018-07-12 11:47:52,-1.0,7.38,6.79,28.02
2018-07-12 12:02:52,-1.0,6.5,6.79,28.15
2018-07-12 12:17:52,-1.0,6.62,6.91,27.8
2018-07-12 12:32:52,-1.0,6.79,7.04,28.51
2018-07-12 12:47:52,-1.0,7.0,6.91,28.24
2018-07-12 13:02:52,-1.0,7.15,7.04,29.04
2018-07-12 13:17:52,-1.0,7.59,6.91,28.95
2018-07-12 13:32:52,-1.0,12.85,6.79,29.22
2018-07-12 13:47:52,-1.0,9.24,7.04,29.57
2018-07-12 14:02:52,-1.0,15.61,6.91,29.48
2018-07-12 14:17:52,-1.0,8.37,6.79,28.77
2018-07-12 14:32:52,-1.0,7.84,7.17,29.17
2018-07-12 14:47:52,-1.0,7.76,7.17,28.91
2018-07-12 15:02:52,-1.0,7.43,6.79,28.82
2018-07-12 15:17:52,-1.0,7.59,6.91,28.38
2018-07-12 15:32:52,-1.0,8.55,6.66,28.11
2018-07-12 15:47:52,-1.0,7.63,6.66,28.29
2018-07-12 16:02:52,-1.0,7.66,6.91,27.18
2018-07-12 16:17:52,-1.0,8.46,6.79,27.49
2018-07-12 16:32:52,-1.0,15.95,6.66,28.46
2018-07-12 16:47:52,-1.0,50.8,6.91,33.6
2018-07-12 17:02:52,-1.0,45.93,6.91,32.49
2018-07-12 17:17:35,-1.0,38.8,7.17,31.91
2018-07-12 17:32:35,-1.0,32.02,7.04,31.12
2018-07-12 17:47:35,-1.0,26.12,7.04,29.61
2018-07-12 18:02:35,-1.0,19.28,7.17,26.95
2018-07-12 18:17:35,-1.0,5.41,6.91,23.97
2018-07-12 18:32:35,-1.0,4.33,7.17,23.19
2018-07-12 18:47:35,-1.0,3.28,6.79,22.54
